type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_990.mat,beta,PrimalAndDualFeasible,-99.98998196623856,-99.98998251125505,5.450710945260311e-09,544947906.3117646,0.03463315963745117
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_479.mat,beta,PrimalAndDualFeasible,-129.31891196629985,-129.31891197109292,3.706391762105914e-11,149762715221.5374,0.383530855178833
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_51.mat,beta,PrimalAndDualFeasible,-15.66375920893018,-15.663759209900627,6.195491267638605e-11,69502692892.16344,0.019077062606811523
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_690.mat,beta,PrimalAndDualFeasible,-149.87780083252937,-149.87780083255413,1.6516995029531397e-13,240522457335623.1,0.3755991458892822
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_172.mat,beta,PrimalAndDualFeasible,-69.28226483403905,-69.28226499006017,2.2519632726327724e-09,1485532468.596685,0.048239946365356445
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_93.mat,beta,PrimalAndDualFeasible,-10.819154827377728,-10.819154829115078,1.6058091848616742e-10,29110663498.830437,0.00913691520690918
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_120.mat,beta,PrimalAndDualFeasible,-144.11330822438285,-144.11330822491482,3.691325540730907e-12,1154280317380.0093,0.3733658790588379
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_336.mat,beta,PrimalAndDualFeasible,-141.29845796916862,-141.29845873203564,5.398976227068615e-09,415802810.19707465,0.5116860866546631
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_450.mat,beta,PrimalAndDualFeasible,-140.0458176442573,-140.04581764434644,6.364380048829932e-13,15582475461007.781,0.393172025680542
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_952.mat,beta,PrimalAndDualFeasible,-92.96585319647524,-92.96585319650903,3.6350349457154753e-13,8644315655788.644,0.03278303146362305
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_66.mat,beta,PrimalAndDualFeasible,-139.80414853325343,-139.8041485332826,2.0878561824707967e-13,13313306739271.666,0.4324929714202881
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_529.mat,beta,PrimalAndDualFeasible,-151.9105413747111,-151.91054139074612,1.055556561375489e-10,32026054282.124775,0.4544351100921631
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_345.mat,beta,PrimalAndDualFeasible,-20.11922100122686,-20.11922100167872,2.245907009187736e-11,228592097783.77158,0.0123138427734375
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_298.mat,beta,PrimalAndDualFeasible,-146.15360777157753,-146.15360777157906,1.050109082247558e-14,347617140536986.3,0.3745310306549072
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_893.mat,beta,PrimalAndDualFeasible,-117.78421952079341,-117.78421952205555,1.0715671986102418e-11,566550959069.5789,0.3672170639038086
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_111.mat,beta,PrimalAndDualFeasible,-148.40612637360377,-148.4061263740884,3.265488961534031e-12,1581955211637.4048,0.40180301666259766
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_999.mat,beta,PrimalAndDualFeasible,-10.715016097644943,-10.715016105256174,7.103331142671011e-10,4590370720.806136,0.011182069778442383
