type,n,m,seed,generator_timestamp,test_timestamp,relaxation,time
maxnorm,2,4,90,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0014519691467285
maxnorm,2,4,91,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011579990386962
maxnorm,2,4,92,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013120174407958
maxnorm,2,4,93,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012180805206298
maxnorm,2,4,94,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010440349578857
maxnorm,2,4,95,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012068748474121
maxnorm,2,4,96,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010700225830078
maxnorm,2,4,97,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012109279632568
maxnorm,2,4,98,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012400150299072
maxnorm,2,4,99,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010840892791748
maxnorm,2,8,0,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0019819736480712
maxnorm,2,8,1,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.002079963684082
maxnorm,2,8,2,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0019440650939941
maxnorm,2,8,3,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0021009445190429
maxnorm,2,8,4,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016610622406005
maxnorm,2,8,5,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018460750579833
maxnorm,2,8,6,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0019080638885498
maxnorm,2,8,7,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0021359920501708
maxnorm,2,8,8,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.001910924911499
maxnorm,2,8,9,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017249584197998
maxnorm,2,8,10,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016798973083496
maxnorm,2,8,11,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017621517181396
maxnorm,2,8,12,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0019340515136718
maxnorm,2,8,13,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0023469924926757
maxnorm,2,8,14,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0012900829315185
maxnorm,2,8,15,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015380382537841
maxnorm,2,8,16,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018351078033447
maxnorm,2,8,17,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016591548919677
maxnorm,2,8,18,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017318725585937
maxnorm,2,8,19,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0013229846954345
maxnorm,2,8,20,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.001904010772705
maxnorm,2,8,21,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016961097717285
maxnorm,2,8,22,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0025157928466796
maxnorm,2,8,23,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015730857849121
maxnorm,2,8,24,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015890598297119
maxnorm,2,8,25,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0019209384918212
maxnorm,2,8,26,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0020098686218261
maxnorm,2,8,27,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0012860298156738
maxnorm,2,8,28,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017170906066894
maxnorm,2,8,29,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018959045410156
maxnorm,2,8,30,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018701553344726
maxnorm,2,8,31,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0019500255584716
maxnorm,2,8,32,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0014779567718505
maxnorm,2,8,33,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015051364898681
maxnorm,2,8,34,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.001741886138916
maxnorm,2,8,35,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0014801025390625
maxnorm,2,8,36,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015790462493896
maxnorm,2,8,37,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016379356384277
maxnorm,2,8,38,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018959045410156
maxnorm,2,8,39,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015630722045898
maxnorm,2,8,40,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0020351409912109
maxnorm,2,8,41,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015230178833007
maxnorm,2,8,42,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.001918077468872
maxnorm,2,8,43,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016851425170898
maxnorm,2,8,44,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0013539791107177
maxnorm,2,8,45,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018889904022216
maxnorm,2,8,46,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017321109771728
maxnorm,2,8,47,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018620491027832
maxnorm,2,8,48,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016779899597167
maxnorm,2,8,49,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0021190643310546
