type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
martinez,2.0,1.0,786.0,shor,PrimalAndDualFeasible,-0.9292597559706828,-0.9501846185896042,0.020924862618921458,37.294027182695835,0.00040912628173828125
martinez,2.0,1.0,786.0,kron,PrimalAndDualFeasible,-0.9493449176209308,-0.9493449176658226,4.4891868000718205e-11,119543371342.66333,0.0017578601837158203
martinez,2.0,1.0,786.0,beta,PrimalAndDualFeasible,-0.9493449176929593,-0.949344917695239,2.2797319587652964e-12,1303511377036.6228,0.0007200241088867188
martinez,2.0,1.0,787.0,shor,PrimalAndDualFeasible,-0.5963261675045183,-0.9675161776688588,0.3711900101643405,5.609733089597143,0.0003800392150878906
martinez,2.0,1.0,787.0,kron,PrimalAndDualFeasible,-0.946041808220796,-0.9460418082079871,1.2808865079705356e-11,192881325199.28467,0.0022389888763427734
martinez,2.0,1.0,787.0,beta,PrimalAndDualFeasible,-0.9460418080179624,-0.9460418080164209,1.5415446696920299e-12,21284861125.914047,0.000637054443359375
martinez,2.0,1.0,804.0,shor,PrimalAndDualFeasible,-0.39632153865478037,-0.5533113679899846,0.15698982933520422,6.61863773597041,0.0003840923309326172
martinez,2.0,1.0,804.0,kron,PrimalAndDualFeasible,-0.5529432372833495,-0.5529432740672123,3.678386284455826e-08,39323084.440922625,0.0019898414611816406
martinez,2.0,1.0,804.0,beta,PrimalAndDualFeasible,-0.5529432738556407,-0.5529432741083233,2.526826525794945e-10,13029039285.363464,0.0006568431854248047
martinez,2.0,1.0,832.0,shor,PrimalAndDualFeasible,-0.15745995985801825,-0.24780015047076484,0.09034019061274659,1.7051123637296348,0.0002970695495605469
martinez,2.0,1.0,832.0,kron,PrimalAndDualFeasible,-0.22788698198783225,-0.22788698250172845,5.138962033690575e-10,406089967.73316336,0.003838062286376953
martinez,2.0,1.0,832.0,beta,PrimalAndDualFeasible,-0.2278869826585394,-0.22788698266093813,2.3987201114294976e-12,42596793046.62734,0.0008459091186523438
martinez,2.0,1.0,854.0,shor,PrimalAndDualFeasible,-0.28812419833663017,-0.9568815075077801,0.66875730917115,1.8638452461675385,0.0003070831298828125
martinez,2.0,1.0,854.0,kron,PrimalAndDualFeasible,-0.7514433495843686,-0.7514433496886038,1.0423517604607468e-10,15532472852.467373,0.0018570423126220703
martinez,2.0,1.0,854.0,beta,PrimalAndDualFeasible,-0.7514433496697961,-0.7514433496924308,2.263467191454538e-11,99991910316.96063,0.0007669925689697266
martinez,2.0,1.0,866.0,shor,PrimalAndDualFeasible,-0.5251007848460142,-1.022058822295607,0.4969580374495929,3.6573910248187103,0.0004010200500488281
martinez,2.0,1.0,866.0,kron,PrimalAndDualFeasible,-1.0206776748370292,-1.0206776756984268,8.439467627957759e-10,3352013976.040055,0.0018780231475830078
martinez,2.0,1.0,866.0,beta,PrimalAndDualFeasible,-1.0206776737704013,-1.0206776756826164,1.8734759271389124e-09,1944772447.8091362,0.0006649494171142578
